x_abs_m,x_local_m,x_H2_molfrac,x_N2_molfrac,x_Air_molfrac,x_O2_molfrac,x_inert_molfrac
5.0,5.0,1.0,1.0270608031357852e-234,2.4034165424848558e-296,5.047174739218197e-297,1.0270608031357852e-234
15.0,15.0,1.0,7.580021685459839e-234,1.8073224967798912e-295,3.7953772432377716e-296,7.580021685459839e-234
25.0,25.0,1.0,4.5378929531074485e-233,1.1151051705553007e-294,2.3417208581661314e-295,4.5378929531074485e-233
35.0,35.0,1.0,2.463851370777256e-232,6.305963295328473e-294,1.3242522920189793e-294,2.463851370777256e-232
45.0,45.0,1.0,1.2631748853195007e-231,3.4008949073386294e-293,7.141879305411121e-294,1.2631748853195007e-231
55.0,55.0,1.0,6.233652185767202e-231,1.7820617634253414e-292,3.7423297031932167e-293,6.233652185767202e-231
65.0,65.0,1.0,2.992840882467091e-230,9.16433907868669e-292,1.9245112065242048e-292,2.992840882467091e-230
75.0,75.0,1.0,1.4071071973013456e-229,4.6525500164381254e-291,9.770355034520063e-292,1.4071071973013456e-229
85.0,85.0,1.0,6.506411357274723e-229,2.3403600311961335e-290,4.91475606551188e-291,6.506411357274723e-229
95.0,95.0,1.0,2.967708703745103e-228,1.1692274611847996e-289,2.455377668488079e-290,2.967708703745103e-228
105.0,105.0,1.0,1.3381371803187776e-227,5.8105107204126965e-289,1.2202072512866663e-289,1.3381371803187776e-227
115.0,115.0,1.0,5.974146669633008e-227,2.875281522433868e-288,6.038091197111122e-289,5.974146669633008e-227
125.0,125.0,1.0,2.6441119687722613e-226,1.4177622081921107e-287,2.9773006372034323e-288,2.6441119687722613e-226
135.0,135.0,1.0,1.1612598159943399e-225,6.969353667104491e-287,1.463564270091943e-287,1.1612598159943399e-225
145.0,145.0,1.0,5.064736385421292e-225,3.4165777395391367e-286,7.174813253032187e-287,5.064736385421292e-225
155.0,155.0,1.0,2.1949839097852867e-224,1.6707012135551754e-285,3.5084725484658685e-286,2.1949839097852867e-224
165.0,165.0,1.0,9.457447694610967e-224,8.150483017819547e-285,1.7116014337421047e-285,9.457447694610967e-224
175.0,175.0,1.0,4.052923954955727e-223,3.9672752485421975e-284,8.331278021938614e-285,4.052923954955727e-223
185.0,185.0,1.0,1.7281017567974783e-222,1.9268972757080938e-283,4.0464842789869966e-284,1.7281017567974783e-222
195.0,195.0,1.0,7.333436891819566e-222,9.339095145538807e-283,1.9612099805631493e-283,7.333436891819566e-222
205.0,205.0,1.0,3.098099303539548e-221,4.516966214868523e-282,9.485629051223898e-283,3.098099303539548e-221
215.0,215.0,1.0,1.303254821217018e-220,2.1801965922560212e-281,4.5784128437376446e-282,1.303254821217018e-220
225.0,225.0,1.0,5.460011474286525e-220,1.0501681850716743e-280,2.205353188650516e-281,5.460011474286525e-220
235.0,235.0,1.0,2.2785647371651354e-219,5.0482601926448e-280,1.0601346404554079e-280,2.2785647371651354e-219
